 SERIES, DATE OF LISTING, ISIN NUMBER
BE,21-SEP-2005,INE512B01022
EQ,07-AUG-1997,INE258B01022
EQ,08-FEB-1995,INE171A01029
EQ,05-NOV-2001,INE623B01027
EQ,13-FEB-2009,IN9623B01058
EQ,19-OCT-2006,INE737H01014
EQ,29-AUG-2011,INE816B01027
EQ,15-FEB-1995,INE235A01022
EQ,02-JUL-2018,INE686Y01026
EQ,08-FEB-1995,INE183A01016
EQ,19-OCT-2011,INE060J01017
EQ,01-OCT-2013,INE452O01016
EQ,08-FEB-1995,INE529A01010
EQ,31-DEC-2010,INE360L01017
EQ,09-MAY-2007,INE061F01013
EQ,05-MAY-2003,INE519A01011
EQ,29-AUG-2016,INE752P01024
EQ,18-DEC-2017,INE935Q01015
EQ,22-FEB-2007,INE684F01012
EQ,20-APR-2005,INE524A01029
EQ,11-OCT-2000,INE036B01022
EQ,02-APR-1997,INE129A01019
EQ,27-OCT-2010,INE482J01021
EQ,08-FEB-2018,INE600K01018
EQ,04-APR-2006,INE297H01019
EQ,11-OCT-2010,INE528K01029
EQ,03-APR-2008,INE181G01025
EQ,31-JAN-2007,INE524B01027
EQ,09-MAR-2015,INE845D01014
EQ,02-MAR-2007,INE460C01014
EQ,28-JUL-2017,INE335W01016
BZ,07-APR-2006,INE670B01028
EQ,01-APR-2003,INE526A01016
EQ,03-APR-2007,INE276A01018
EQ,10-OCT-2006,INE152B01027
EQ,28-JUN-2018,INE287Z01012
EQ,22-AUG-2011,INE336H01023
EQ,31-MAR-2005,INE852F01015
EQ,04-OCT-2006,INE916G01016
BZ,18-JAN-2007,INE878C01033
EQ,23-JAN-2003,INE727B01026
EQ,16-FEB-2015,INE949P01018
EQ,08-JUL-2005,INE955D01029
EQ,01-JUL-2005,INE007B01023
EQ,19-APR-2000,INE878A01011
EQ,27-NOV-2006,INE017A01032
EQ,30-JUN-2008,INE200A01026
EQ,31-JUL-2003,INE539A01019
EQ,08-MAY-1996,INE289B01019
EQ,25-OCT-2017,INE481Y01014
EQ,14-DEC-2009,INE047B01011
EQ,30-JUL-2003,INE322A01010
EQ,10-MAY-1995,INE424C01010
EQ,08-FEB-1995,INE162A01010
EQ,30-JAN-2009,INE065J01016
EQ,20-JUL-2009,INE528A01020
EQ,15-DEC-2000,INE159A01016
EQ,07-FEB-2000,INE935A01035
EQ,27-OCT-2006,INE792H01019
EQ,03-MAY-2007,INE446C01013
EQ,23-SEP-2009,INE615I01010
EQ,23-AUG-1995,INE075D01018
EQ,17-DEC-1997,INE131A01031
EQ,05-MAR-2018,INE541A01023
EQ,21-AUG-2006,INE776C01039
EQ,26-SEP-2016,INE934S01014
EQ,17-MAY-1995,INE113A01013
EQ,05-JUN-2007,INE426D01013
EQ,26-JUN-2014,INE077F01035
EQ,24-JUL-1996,INE260B01028
EQ,16-OCT-2017,INE850D01014
EQ,20-JUN-2001,INE102D01028
EQ,25-FEB-2003,INE233A01035
EQ,05-JAN-2010,INE484J01027
BZ,16-APR-2010,INE516K01024
EQ,27-APR-2005,INE887G01027
BE,04-JUN-2008,INE020J01029
BE,11-MAR-2016,INE314T01025
BE,08-FEB-1995,INE973A01010
EQ,29-AUG-2005,INE025B01017
EQ,11-APR-2001,INE805A01014
EQ,08-JAN-2015,INE127I01024
EQ,25-APR-2006,INE177H01013
EQ,09-SEP-2010,INE517F01014
EQ,11-JUL-2016,INE390G01014
EQ,20-JUN-2005,INE101D01020
EQ,07-FEB-2003,INE371A01025
EQ,10-MAY-1995,INE047A01021
EQ,16-NOV-2010,INE024L01027
EQ,09-SEP-2004,INE224A01026
EQ,02-MAR-2015,INE544R01013
EQ,06-MAR-1996,INE461C01038
EQ,08-OCT-2010,INE999K01014
EQ,11-SEP-2006,INE536A01023
EQ,14-JUL-2016,INE646C01018
EQ,12-FEB-2015,INE137I01015
EQ,10-OCT-2018,INE382Z01011
EQ,10-SEP-2004,INE580B01029
EQ,15-MAY-2013,INE542A01039
EQ,06-SEP-1995,INE026A01025
EQ,16-JUN-2003,INE264A01014
EQ,16-FEB-2006,INE246F01010
EQ,07-MAR-2008,INE871H01011
BE,29-MAR-1995,INE043A01012
EQ,09-NOV-2006,INE221H01019
EQ,02-AUG-1995,INE537A01013
BE,18-MAY-2006,INE302H01017
EQ,04-JUL-2017,INE869I01013
EQ,19-OCT-2004,INE742B01025
EQ,07-AUG-1997,INE186A01019
EQ,04-JUN-2007,INE826C01016
EQ,25-MAY-1995,INE538A01037
EQ,15-SEP-2015,INE844O01030
BE,09-OCT-1996,INE610B01024
EQ,31-JUL-2014,INE635Q01029
EQ,24-SEP-2004,INE586G01017
EQ,28-JAN-2015,INE255D01024
EQ,27-FEB-2006,INE251H01024
EQ,28-MAR-2018,INE066F01012
EQ,06-APR-2009,INE939D01015
EQ,08-FEB-1995,INE544A01019
EQ,25-FEB-2010,INE982F01036
EQ,20-JUN-2014,INE473B01035
EQ,21-MAR-2001,INE176B01034
BE,16-FEB-2000,INE293B01029
EQ,04-JAN-2007,INE292B01021
EQ,23-JUL-2018,INE550B01022
EQ,01-APR-2003,INE549A01026
EQ,30-MAR-2016,INE075I01017
EQ,01-JAN-1997,INE236A01020
EQ,06-JAN-2000,INE860A01027
EQ,23-OCT-1996,INE001A01036
EQ,06-AUG-2018,INE127D01025
EQ,08-NOV-1995,INE040A01026
EQ,17-NOV-2017,INE795G01014
EQ,24-JUL-2007,INE191I01012
EQ,10-MAY-1995,INE545A01016
EQ,15-MAR-1995,INE578A01017
EQ,19-FEB-2008,INE688E01024
EQ,27-NOV-1996,INE978A01027
EQ,11-APR-2003,INE158A01026
EQ,13-MAR-2015,INE782E01017
BE,20-APR-2012,INE750M01017
EQ,14-JUN-2002,INE093A01033
EQ,09-MAR-2011,INE548A01028
EQ,09-MAR-2018,INE926X01010
EQ,19-JUN-2007,INE170I01016
EQ,24-NOV-2016,INE361M01021
EQ,14-FEB-2001,INE475B01022
EQ,26-APR-1995,INE557A01011
EQ,24-MAY-2007,INE788H01017
EQ,08-FEB-1995,INE049A01027
EQ,08-JAN-1997,INE038A01020
EQ,08-MAY-1996,INE310C01029
EQ,15-SEP-2010,INE531E01026
EQ,21-FEB-2011,INE253A01025
EQ,15-APR-2009,INE952A01022
EQ,23-SEP-2003,INE345A01011
EQ,17-JUN-1998,INE094A01015
EQ,08-FEB-1995,INE155B01012
EQ,24-APR-2007,INE353A01023
EQ,06-JUL-1995,INE030A01027
EQ,21-NOV-2006,INE267A01025
EQ,26-DEC-2006,INE835D01023
EQ,05-JAN-2017,INE598C01011
EQ,07-MAY-2018,INE106T01017
EQ,20-DEC-2007,INE120D01012
EQ,21-JAN-2002,INE127B01011
BZ,29-AUG-2003,INE262A01018
EQ,21-JUL-2010,INE871K01015
EQ,18-JUL-2003,INE671A01010
EQ,01-APR-2003,INE634A01018
EQ,19-JUL-1995,INE102A01024
BE,03-APR-1996,INE275F01019
EQ,27-SEP-2006,INE596H01014
EQ,04-OCT-2016,INE495S01016
EQ,02-MAR-2007,INE019C01026
EQ,31-MAY-2000,INE415A01038
EQ,01-SEP-2005,INE501G01024
EQ,07-FEB-2007,INE703H01016
EQ,19-MAY-2017,INE031A01017
EQ,23-MAR-2007,INE069I01010
EQ,23-JUL-2013,INE148I01020
EQ,18-AUG-2011,INE126M01010
EQ,02-APR-2008,INE274G01010
EQ,17-SEP-1997,INE090A01021
EQ,27-SEP-2017,INE765G01017
EQ,29-SEP-2016,INE726G01019
EQ,12-SEP-2005,INE483B01026
EQ,13-APR-2007,INE725G01011
EQ,20-SEP-1995,INE008A01015
EQ,09-MAR-2007,INE669E01016
EQ,12-AUG-2005,INE043D01016
EQ,06-NOV-2015,INE092T01019
EQ,23-OCT-2017,INE022Q01020
EQ,03-APR-1996,INE076C01018
EQ,29-MAR-1995,INE559A01017
EQ,26-APR-1995,INE039A01010
EQ,14-NOV-2017,INE133Y01011
EQ,09-OCT-2003,INE188B01013
EQ,26-DEC-2003,INE203G01027
EQ,29-JAN-2007,INE204A01010
EQ,17-MAY-2005,INE530B01024
EQ,17-AUG-2010,INE886A01014
BE,25-OCT-2007,INE369I01014
EQ,30-MAR-2010,INE975G01012
EQ,23-JUL-2010,INE919H01018
EQ,07-OCT-2005,INE547E01014
BE,03-FEB-2005,INE691G01015
EQ,08-OCT-2008,INE841B01017
EQ,03-JUL-1996,INE053A01029
EQ,31-MAY-2000,INE383A01012
EQ,01-JUL-2005,INE560A01015
EQ,01-MAR-2007,INE562A01011
EQ,08-JAN-1997,INE061A01014
EQ,30-AUG-1995,INE323C01030
EQ,10-NOV-2015,INE646L01027
EQ,10-JAN-1996,INE065B01013
EQ,07-MAY-1997,INE092B01025
EQ,14-JAN-2005,INE873D01024
BE,20-JUN-2003,INE156A01020
BE,29-SEP-2010,INE866K01015
EQ,21-MAY-2018,INE896L01010
EQ,16-MAR-2006,INE332H01014
EQ,02-NOV-2011,INE337M01013
EQ,14-SEP-2007,INE227G01018
EQ,17-APR-1997,INE681B01017
EQ,02-JUL-1997,INE915B01019
EQ,18-OCT-2004,INE788B01028
EQ,11-MAR-2011,INE611L01021
EQ,28-JAN-1998,INE095A01012
EQ,29-MAR-1995,INE189B01011
EQ,04-APR-2016,INE483S01020
EQ,28-DEC-2012,INE121J01017
EQ,08-FEB-1995,INE009A01021
EQ,15-APR-1999,INE177A01018
EQ,23-FEB-2006,INE312H01016
EQ,09-APR-2015,INE066P01011
EQ,30-MAY-2007,INE070I01018
EQ,30-OCT-2006,INE020G01017
BE,20-AUG-2013,INE418N01027
EQ,18-DEC-2014,INE306R01017
EQ,23-MAR-2017,INE781A01025
EQ,04-AUG-2011,INE878H01016
EQ,07-DEC-2000,INE565A01014
EQ,24-JUL-1996,INE242A01010
EQ,08-NOV-2010,INE485C01011
EQ,13-MAY-2004,INE435A01028
EQ,08-FEB-1995,INE571A01020
EQ,25-FEB-2008,INE821I01014
EQ,28-SEP-2018,INE962Y01013
EQ,04-APR-2018,INE763G01038
EQ,12-APR-2010,INE566K01011
BE,28-AUG-2007,INE732F01019
EQ,23-AUG-1995,INE154A01025
EQ,30-DEC-2016,INE353K01014
EQ,10-FEB-1999,INE686A01026
EQ,15-SEP-2003,INE248A01017
EQ,15-SEP-1999,INE050B01023
EQ,13-SEP-1995,INE043C01018
EQ,08-MAR-2000,INE875A01025
EQ,05-FEB-2007,INE848A01014
EQ,22-JUL-1998,INE168A01041
EQ,22-FEB-2006,INE199G01027
EQ,01-MAR-2000,INE048B01027
EQ,09-DEC-2003,INE091G01018
EQ,26-NOV-1997,INE070D01027
BE,29-FEB-2012,INE343D01010
BE,19-NOV-1997,INE486B01011
