SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
BYKE,The Byke Hospitality Ltd,10,1,10
CADILAHC,Cadila Healthcare Limited,1,1,1
CALSOFT,California Software Company Limited,10,1,10
CAMLINFINE,Camlin Fine Sciences Limited,1,1,1
CANBK,Canara Bank,10,1,10
CANDC,C & C Constructions Limited,10,1,10
CANFINHOME,Can Fin Homes Limited,2,1,2
CANTABIL,Cantabil Retail India Limited,10,1,10
CAPACITE,Capacit'e Infraprojects Limited,10,1,10
CAPLIPOINT,Caplin Point Laboratories Limited,2,1,2
CAPTRUST,Capital Trust Limited,10,1,10
CARBORUNIV,Carborundum Universal Limited,1,1,1
CAREERP,Career Point Limited,10,1,10
CARERATING,CARE Ratings Limited,10,1,10
CASTEXTECH,Castex Technologies Limited,2,1,2
CASTROLIND,Castrol India Limited,5,1,5
CCCL,Consolidated Construction Consortium Limited,2,1,2
CCHHL,Country Club Hospitality & Holidays Limited,2,1,2
CCL,CCL Products (India) Limited,2,1,2
CDSL,Central Depository Services (India) Limited,10,1,10
CEATLTD,CEAT Limited,10,1,10
CEBBCO,Commercial Engineers & Body Builders Co Limited,10,1,10
CELEBRITY,Celebrity Fashions Limited,10,1,10
CELESTIAL,Celestial Biolabs Limited,10,1,10
CENTENKA,Century Enka Limited,10,1,10
CENTEXT,Century Extrusions Limited,1,1,1
CENTRALBK,Central Bank of India,10,1,10
CENTRUM,Centrum Capital Limited,1,1,1
CENTUM,Centum Electronics Limited,10,1,10
CENTURYPLY,Century Plyboards (India) Limited,1,1,1
CENTURYTEX,Century Textiles & Industries Limited,10,1,10
CERA,Cera Sanitaryware Limited,5,1,5
CEREBRAINT,Cerebra Integrated Technologies Limited,10,1,10
CESC,CESC Limited,10,1,10
CESCVENT,CESC Ventures Limited,10,1,10
CGCL,Capri Global Capital Limited,2,1,2
CGPOWER,CG Power and Industrial Solutions Limited,2,1,2
CHALET,Chalet Hotels Limited,10,1,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,10,1,10
CHEMFAB,Chemfab Alkalis Limited,10,1,10
CHENNPETRO,Chennai Petroleum Corporation Limited,10,1,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10,1,10
CHROMATIC,Chromatic India Limited,10,1,10
CIGNITITEC,Cigniti Technologies Limited,10,1,10
CIMMCO,Cimmco Limited,10,1,10
CINELINE,Cineline India Limited,5,1,5
CINEVISTA,Cinevista Limited,2,1,2
CIPLA,Cipla Limited,2,1,2
CLEDUCATE,CL Educate Limited,10,1,10
CLNINDIA,Clariant Chemicals (India) Limited,10,1,10
CMICABLES,CMI Limited,10,1,10
CNOVAPETRO,CIL Nova Petrochemicals Limited,10,1,10
COALINDIA,Coal India Limited,10,1,10
COCHINSHIP,Cochin Shipyard Limited,10,1,10
COFFEEDAY,Coffee Day Enterprises Limited,10,1,10
COLPAL,Colgate Palmolive (India) Limited,1,1,1
COMPINFO,Compuage Infocom Limited,2,1,2
COMPUSOFT,Compucom Software Limited,2,1,2
CONCOR,Container Corporation of India Limited,5,1,5
CONSOFINVT,Consolidated Finvest & Holdings Limited,10,1,10
CONTROLPR,Control Print Limited,10,1,10
CORALFINAC,Coral India Finance & Housing Limited,2,100,2
CORDSCABLE,Cords Cable Industries Limited,10,1,10
COROMANDEL,Coromandel International Limited,1,1,1
CORPBANK,Corporation Bank,2,1,2
COSMOFILMS,Cosmo Films Limited,10,1,10
COUNCODOS,Country Condo's Limited,1,1,1
COX&KINGS,Cox & Kings Limited,5,1,5
CREATIVEYE,Creative Eye Limited,5,1,5
CREDITACC,CREDITACCESS GRAMEEN LIMITED,10,1,10
CREST,Crest Ventures Limited,10,1,10
CRISIL,CRISIL Limited,1,1,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,2,1,2
CTE,Cambridge Technology Enterprises Limited,10,1,10
CUB,City Union Bank Limited,1,1,1
CUBEXTUB,Cubex Tubings Limited,10,1,10
CUMMINSIND,Cummins India Limited,2,1,2
CUPID,Cupid Limited,10,1,10
CURATECH,Cura Technologies Limited,10,1,10
CYBERMEDIA,Cyber Media (India) Limited,10,1,10
CYBERTECH,Cybertech Systems And Software Limited,10,1,10
CYIENT,Cyient Limited,5,1,5
DAAWAT,LT Foods Limited,1,1,1
DABUR,Dabur India Limited,1,1,1
DALBHARAT,Odisha Cement Limited,2,1,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,2,1,2
