SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL
Nilkamal Limited,NILKAMPLST,NILKAMAL
Noesis Industries Limited,MEDIA,MVLIND
Noesis Industries Limited,MVLIND,NOESISIND
NuCent Finance Limited,PRESSMAN,NUCENTFIN
OCL India Limited,ORISSACEM,OCL
Oberoi Realty Limited,OBEROIREAL,OBEROIRLTY
Olectra Greentech Limited,GOLDTELE,GOLDINFRA
Olectra Greentech Limited,GOLDINFRA,OLECTRA
Oracle Financial Services Software Limited,I-FLEX,OFSS
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR
Orient Bell Limited,ORIENTCERA,ORIENTBELL
Oriental Trimex Limited,OTL,ORIENTALTL
PAE Limited,PREMAUTOEL,PAEL
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA
PSL Limited,PSLHOLD,PSL
PVP Ventures Limited,SOFTSOLINT,PVP
Paisalo Digital Limited,SEINV,PAISALO
Palred Technologies Limited,FOURSOFT,PALRED
Panasonic AVC Networks India Company Limited.,MTAL,PAVCI
Parrys Sugar Industries Limited,GMRINDS,PARRYSUGAR
Pearl Global Industries Limited,HOPFL,PGIL
Peninsula Land Limited,MORARJESPG,MORAREALTY
Peninsula Land Limited,MORAREALTY,PENINLAND
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA
Phoenix Lamps Limited,PHOENIXLMP,HALONIX
Phoenix Lamps Limited,HALONIX,PHOENIXLL
Piramal Enterprises Limited,NICOLASPIR,PIRHEALTH
Piramal Enterprises Limited,PIRHEALTH,PEL
Piramal Glass Limited,GUJGLASS,PIRGLASS
Piramal Phytocare Limited,PIRLIFE,PIRPHYTO
Pitti Engineering Limited,PITTILAM,PITTIENG
Precot Meridian Limited,PRECOTMILL,PRECOT
Premier Limited,PREMAUTO,PREMIER
Pressman Advertising Limited,NUCENT,PRESSMN
Pricol Limited,PREMINSTR,PRICOL
Prism Johnson Limited,PRISMCEM,PRSMJOHNSN
Procter & Gamble Hygiene and Health Care Limited,P&G,PGHH
Proseed India Limited,GREENFIRE,PROSEED
Prozone Intu Properties Limited,PROZONE,PROZONECSC
