SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
PDSMFL      ,254,260,254,258.15,260,255,9,812,209273,
STARLIT     ,12.9,12.9,12.9,12.9,12.9,13.15,3,1002,12925,
JSHL        ,10.05,10.3,9.7,10.13,10.3,10.06,24,145000,1464400,
NIYOGIN     ,75.65,75.65,70.05,70.05,70.05,72.15,7,600,44013,
AKASHDEEP   ,45.3,45.75,45.05,45.75,45.75,45.35,50,41750,1901192,
GBFL        ,0.96,0.96,0.95,0.95,0.95,0.96,3,6011,5710,
SAPPL       ,228.9,228.9,204.2,211,211,208.85,9,139,30930,
AANCHALISP  ,9.34,9.56,9,9.46,9.46,9.15,16,5607,50698,
CAPPIPES    ,33,33,33,33,33,34,3,9000,297000,
MEL         ,2.8,2.9,2.66,2.66,2.66,2.8,10,270,729,
INTELLECT   ,154.2,165.25,154.2,161.45,164.2,152.95,918,44377,7070400,
MONTECARLO  ,379.15,395,378.9,391.05,391.05,379.15,348,11225,4338252,
JSTL        ,33.3,33.35,28.55,33.3,33.3,32.65,16,387,12320,
CAMSONBIO   ,5.14,5.45,4.98,5.45,5.45,5.24,11,208,1047,
PANAFIC     ,0.58,0.61,0.58,0.58,0.61,0.59,45,304821,176848,
AMSONS      ,1.22,1.22,1.22,1.22,1.22,1.28,6,2001,2441,
NEXUSCOMMO  ,24.95,24.95,24.95,24.95,24.95,25.45,2,3,74,
SIPROJECTS  ,38.45,38.45,37.55,37.85,37.9,37.9,5,18,682,
KANCHI      ,332.5,345,316.1,330.1,330,332.7,295,11603,3735343,
DHUN TEAIND ,216,216,210.55,210.55,210.55,216,4,50,10715,
RAFL        ,112,112,112,112,112,112,2,5000,560000,
COSYN       ,36,38.5,33.5,35.1,35.05,36.7,78,14719,517267,
KARNAVATI   ,30.45,30.45,30.3,30.3,30.3,30.45,5,425,12911,
MERCANTILE  ,4.13,4.13,4.13,4.13,4.13,4.31,3,900,3717,
GENUSPAPER  ,6.45,6.6,6.31,6.57,6.54,6.43,11,1726,11106,
MINDACORP   ,126,131.8,125.95,126.35,126.35,128.5,199,11952,1519944,
PACT        ,2.39,2.39,2.39,2.39,2.39,2.4,2,1977,4725,
MERCURYLAB  ,300,300,300,300,300,313.5,1,75,22500,
CONCORD     ,16,17.35,15.8,17.35,17.35,16.55,6,801,13144,
GRNLAM IND  ,702,702,655.15,660,660,690,3,12,8335,
TALBROSENG  ,146.1,155,141.2,145.45,145.3,154.75,54,2709,394828,
SAPL        ,256,256,256,256,256,256.9,1,20,5120,
GBLIL       ,29.7,29.7,29.7,29.7,29.7,31.25,6,1010,29997,
ORTEL       ,3.65,3.65,3.65,3.65,3.65,3.65,1,410,1496,
ASHFL       ,59,62.85,57.05,60.8,62.5,54.65,6,122,7400,
BEEKAY      ,321.95,324.5,305,312.45,308.4,308.4,63,2230,690248,
SETFBSE100  ,110.75,110.95,110.75,110.86,110.95,110.4,4,200,22170,
TTIL        ,2.89,2.89,2.63,2.74,2.63,2.76,7,622,1706,
AGIIL       ,76.1,76.1,73,73,73,76.1,2,200,14910,
BKMINDST    ,4.52,4.52,4.52,4.52,4.52,4.75,2,230,1039,
MANAKSTELTD ,17.7,17.7,17.3,17.3,17.3,18.35,7,536,9322,
MNKALCOLTD  ,6.8,7.43,6.8,7.43,7.43,7.12,2,550,3771,
MNKCMILTD   ,6,6.57,6,6.57,6.57,5.6,11,823,5107,
ADLABS      ,8.75,9.21,8.75,9.08,9.08,8.78,101,133431,1180725,
INOXWIND    ,60.4,62,58.05,61.7,61.5,60.95,124,6808,415726,
YOGYA       ,20.3,20.3,20.3,20.3,20.3,20.2,8,80000,1624000,
FILTRA      ,16.35,17.5,15.9,16.6,16.6,17.95,9,126000,2097000,
PML         ,1900,1999.95,1884,1884,1884,1954.05,54,130,247911,
VRLLOG      ,241.95,244,238,239.25,240.8,241.15,50,759,182447,
BODHTREE    ,45.5,45.5,41.35,42.95,42.95,43.5,46,2030,87498,
MEP         ,38.25,38.3,36.1,37.5,37.3,38.25,130,10239,385234,
CLLIMITED   ,5.85,5.85,5.85,5.85,5.85,5.9,3,1100,6435,
VEGETABLE   ,4.9,4.9,4.6,4.81,4.9,4.9,29,7035,33913,
UFO         ,223.85,225.4,219,220.75,220,224,74,1402,310766,
NIFTYEES    ,14698,14698,14698,14698,14698,14698,1,1,14698,
SHIVALIK    ,244.95,244.95,236.35,241.9,241.9,246.75,38,2684,644895,
ICSL        ,2.67,2.67,2.67,2.67,2.67,2.81,1,10,26,
PNCINFRA    ,134.95,135.2,130.3,131.95,131.95,143.05,345,5791,772793,
ARFIN       ,168,175,166,168,168,168.35,16,232,39353,
FUNNY       ,0.85,0.85,0.85,0.85,0.85,0.86,2,13,11,
HAWAENG     ,35.6,38.95,35.6,38,38,37.45,10,767,28375,
AIIL        ,28.5,28.5,28.5,28.5,28.5,30,1,15,427,
