SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
ABB LTD.    ,1257,1274,1242.85,1248.1,1247,1241.9,785,11677,14700549,
AEGIS LOGIS ,179.05,187.9,178,183.95,187.9,176.95,297,7732,1392425,
AMAR RAJA BA,739.35,745,712,724,724,737.55,1675,116433,85481640,
A.SARABHAI  ,11.9,12.32,11.5,11.79,12,11.8,63,6798,79677,
HDFC        ,1882.9,1882.9,1858.45,1870.9,1870,1851.25,1307,43734,81707574,
ANDHRA PETRO,53,56,52.2,54.9,54.9,51.7,420,83273,4499953,
ANSAL INFRAS,11.2,11.5,9.4,10.43,10.4,10.95,249,56322,606842,
APPLE FINANC,1.6,1.6,1.53,1.53,1.53,1.6,10,2649,4101,
BOM DYEING  ,105.95,109.35,105.85,107.2,107.2,104.85,1515,129520,13913293,
ASIANHOTNR  ,135.2,143.5,135.2,143.5,143.5,139,4,270,37199,
ASSAMCO     ,2.69,2.69,2.69,2.69,2.69,2.57,42,47941,128961,
ATUL LTD.   ,3424.9,3466,3371.25,3394.35,3430,3402.1,181,617,2099967,
ATV PROJECTS,5.76,5.76,5.42,5.42,5.42,5.7,23,13200,71996,
BAJAJ ELECT.,433.05,448.15,433.05,436.2,436.2,432.45,732,17369,7662848,
BAJAJHIND   ,7.7,7.9,7.62,7.81,7.86,7.7,384,291565,2281961,
FORCE MOTR  ,1351,1356,1337,1339.9,1339.9,1332.05,738,7787,10471249,
BAJFINANCE  ,2576.9,2609,2575,2600.85,2600.85,2559.3,2016,42663,110544757,
BALRAM.CHINI,125,128.1,122.3,123.9,123.9,124.9,2953,272764,34142441,
BANCO PROD. ,148,151,145.4,145.8,145.4,148.1,205,11548,1697783,
CENTURY TEXT,718.05,743,718.05,740.25,740.25,715.25,853,115069,83527198,
BANNARI AMAN,1549,1549,1549,1549,1549,1508.4,1,1,1549,
BASF INDIA  ,1216.35,1220,1180.05,1198.5,1196.7,1201.55,212,1144,1374142,
BATA INDIA  ,1266,1274.9,1256.25,1269.6,1270.05,1260.95,871,21588,27328513,
BEML LTD    ,755.15,777.15,755.15,773.75,773.75,755.75,1768,74997,57570375,
BHARAT ELECT,77.8,78.65,76.35,77.35,77.35,75.85,2722,691028,53453514,
BHANSALI ENG,61,61,58.95,60.2,60.2,60.1,325,21019,1264094,
TATASTLBSL  ,27,27.25,26.85,27.05,26.95,27.15,162,33912,917762,
BIHAR SPONGE,0.95,0.95,0.95,0.95,0.95,0.96,4,425,403,
BINANI IND. ,34.25,34.85,33.8,33.9,33.9,33.4,19,2041,69821,
BIRLACABLE  ,155.35,155.35,151.6,154.7,154.7,151.75,190,4360,673136,
BLUE STAR   ,570,600,565,588.6,600,567.1,117,1703,974989,
DISA INDIA  ,6185,6185,6001,6100.35,6100,6000.05,17,902,5414250,
BPL LTD.    ,26.6,27.95,26.6,27.3,27.3,25.75,328,52455,1421925,
OAL         ,204,222,204,218.35,218.35,205.65,91,13519,2927032,
CENTURY EXT ,6.05,6.09,5.9,6.07,6.08,5.94,29,12262,74095,
CESC LTD.   ,661.3,674.75,660.25,672.15,673.8,658.3,510,13270,8869336,
CHAMBAL FERT,160,161.8,158.95,160.85,161.1,159.95,133,5587,894721,
EXIDE IND.  ,206,207.9,194.65,206.55,206.55,205.2,4504,327290,65998493,
CIPLA LTD.  ,539.2,542.5,538.9,541.05,540.1,539.2,621,24467,13236451,
DIC INDIA   ,325,347,325,331,343,319.25,5,21,7050,
CRISIL LTD  ,1560.05,1585.65,1533,1560.25,1561,1572.3,139,1122,1743589,
CGPOWER     ,29.3,30.8,28.75,30.25,30.25,28.8,6435,3674383,110173563,
DABUR (I)   ,422,426.2,421.4,424.9,425.4,420.95,494,26510,11245143,
DALMIASUG   ,104.95,106,101.5,102.15,102.8,101.7,588,50714,5304290,
ARVIND Ltd  ,75.75,77.1,75.75,76.6,76.6,76.2,463,76782,5890938,
BALARPUR IND,3.46,3.6,3.42,3.5,3.46,3.5,89,59725,207952,
BHEL        ,62.25,63.1,62,62.65,62.65,62.05,1202,389905,24389832,
HIND.PETRO  ,215.05,222.2,215.05,221,221,214.8,1994,210017,46094429,
IFCI LTD    ,11.9,12.17,11.9,12.08,12.08,11.97,615,249734,3000460,
MAHA.TELE   ,12.05,12.15,11.89,12.01,12.01,11.96,115,47256,568748,
MRPL        ,63.45,64.05,63.25,63.6,64,63,433,91407,5809805,
CHENNAI PET.,204,210,204,206.3,206.3,202.75,524,41070,8501033,
REL.CAP.    ,152.5,152.5,135.95,145.05,145.05,151.5,25316,3202387,455105080,
STATE BANK  ,265,267.7,264.5,267.05,267.05,262.5,6050,741933,197292454,
STEEL AUTH. ,46.55,48.45,46.25,47.9,47.9,46.15,3053,1546369,73794996,
TITAN       ,1030,1044,1028.2,1033.25,1033.25,1029.15,2061,79528,82360594,
IDBI BANK L ,43,44.05,42.65,43.65,43.65,42.55,2928,1121672,48431246,
DCW LTD.    ,13.9,14.2,13.9,14.05,14.2,14,46,13176,184295,
DHAMPUR SUGA,216.5,219.95,210.2,212.55,212.55,216.85,2511,152913,32830424,
DIAMINES&CHM,80,84.55,77.8,84.35,84.55,80.55,100,11076,890007,
ELANTAS     ,2065,2170.9,2000,2129.85,2100,2052.65,104,757,1596794,
DR.REDDY'S  ,2565.65,2580,2510,2523.7,2523.7,2535.6,4373,75353,190818759,
E.I.D.PAR   ,185.05,187.25,184.5,185.15,185.15,185.25,193,8267,1535270,
MERCK LTD   ,2990.05,3031,2961.4,2966.05,2971,2994.3,415,2421,7248693,
ELEC.CASTING,18.5,18.8,18.15,18.7,18.7,18.2,50,15513,286893,
EMPEE SUGARS,1.05,1.05,1.05,1.05,1.05,1,2,200,210,
ESAB INDIA  ,815.55,865,815.55,854.15,854.15,830.55,107,2274,1936790,
ESSEL PROP  ,117,118,107.4,109.3,109.3,114.8,1016,62400,6972678,
ESTER INDUS.,30,30.2,30,30.15,30.15,30.15,4,185,5571,
FERRO ALLOYS,3.07,3.22,3.07,3.18,3.15,3.03,89,27772,87109,
FGP LTD.    ,1.48,1.55,1.48,1.55,1.55,1.55,3,2801,4155,
FINOL. CABLE,365.6,381,361.4,372.25,372.25,362.4,526,9781,3586282,
CMI FPE     ,1138.95,1145,1100.7,1127.1,1120.05,1120.5,75,657,738421,
UFLEX LTD   ,185.2,191.5,185.2,190.2,190.15,185.55,243,8275,1560832,
FOSECO INDIA,1325.1,1358.9,1322.3,1328.9,1324,1335.1,27,95,127257,
GOLDEN TOB  ,35.2,35.2,35.2,35.2,35.2,37.05,5,1041,36643,
GANESH BENZO,41,43,40,41.1,41.1,40.65,213,25497,1044826,
GARDEN SILK ,15.65,15.8,15.1,15.65,15.8,15.2,36,3330,51489,
METROGLOBL  ,48,56,48,48.15,48,50,14,500,25331,
GTL LTD.    ,4.43,4.43,4.27,4.41,4.4,4.22,47,16479,72642,
GODFREY PH  ,879.95,888.7,866,874.25,875.05,876.3,249,5325,4660391,
GODREJ IND  ,475.5,485,471.45,481.9,482,472.95,443,13455,6423819,
KANSAI NERO ,434.6,444,432,439.4,444,430.1,144,16520,7171895,
GOODRICKE   ,211.85,211.85,205,209.5,210,206.6,81,3148,652645,
GOODYEAR (I),865.15,868,833.3,854,854,864.15,131,2016,1734967,
GTN INDUS   ,8.49,8.49,8,8,8,7.75,3,372,3048,
GHCL LTD    ,215.45,220,215,217.65,220,213,108,2287,495429,
GUJ.FLOURO  ,863.5,865.15,850.4,855.85,856.5,862.3,134,2290,1960993,
HCL INFOSYS ,16.8,18,16.65,17.8,17.8,16.7,345,70806,1218951,
HDFC BANK   ,2085,2110,2081.65,2106.55,2106.55,2084.3,1741,66263,138951421,
HEROMOTOCO  ,2645,2656.5,2610,2625.6,2628.45,2643.15,1425,18312,48057811,
HIMACHAL FUT,21.15,21.4,21,21.2,21.2,21.1,930,734903,15531861,
HSCL        ,95,98.3,94,97.65,97.35,95.35,449,37843,3662053,
HIND.CONSTN.,12.24,12.44,12,12.36,12.36,12.07,895,205766,2528696,
HIND.OIL EXP,118.6,119.5,115.85,117.1,117.1,111.85,1189,100258,11779299,
HSIL        ,219.4,226.9,219.35,225.85,224,221.35,312,6400,1421657,
HINDUS.ZI   ,251.05,254.2,249.65,253.1,253.1,248,557,28322,7140981,
HINDUJA VENT,315.05,322.9,315.05,320.8,317.1,316.8,7,47,15043,
HMT LTD.    ,16.3,16.8,15.95,16.7,16.7,16.75,17,4661,75196,
PRAG BOSIMI ,2.88,2.88,2.8,2.82,2.82,2.88,4,2550,7170,
HOTEL LEELA.,12.05,12.25,11.75,11.87,11.85,12.06,114,41347,497013,
I.G.PETRO   ,231.15,237.95,230.05,234.65,232.4,233.8,62,1353,317035,
IND.GLYCOLS ,242.35,246,240.15,242.1,241,242.8,366,8576,2075922,
INDO RAMA   ,34.25,34.6,34.25,34.6,34.6,34.35,18,9848,339365,
INFOSYS LTD ,730,743.45,727,740.05,740.05,725.15,4084,288411,212129697,
INGERSOLL   ,517.35,544.9,517.25,534.75,544.9,516.55,135,1084,573773,
INSILCO LTD.,17.5,17.55,17.45,17.55,17.55,17.45,14,952,16658,
INTEG.FIN.SE,32.4,35.4,32.4,35.4,35.4,34.1,2,68,2206,
INTER.TRAVEL,134.5,134.5,129.6,130.15,130.8,134.5,21,989,129190,
ION EXCHANGE,360,378.9,360,373.1,373.1,370.6,49,3234,1201552,
AGRO TECH FO,571.85,574,557.05,568.9,574,582.25,20,128,72306,
JAIN IRRIG  ,54.9,56.75,54.75,55.95,55.95,54.65,814,631852,35278980,
JASCH INDUST,49,51,48.95,50.2,51,50,17,1114,55648,
JCT LTD     ,1.34,1.37,1.25,1.34,1.34,1.28,69,90337,118543,
JINDAL POLYF,228.65,230.9,222.35,228.1,229.6,229.1,95,1592,360213,
JSWSL       ,268,276.45,267.65,274.15,276.2,266.4,3008,385418,104966808,
UMANG DAIR  ,44.55,46.3,44.55,44.7,44.65,45.2,12,502,22675,
KAJARIA CER.,508.9,524,508.3,519,521.2,508.9,387,11701,6038401,
KAKATIYA CEM,142.1,144,139.05,140.7,140.65,141.85,39,1606,227964,
KALYANI STEL,178.95,180.25,175.2,178.45,178.45,176.65,261,14054,2500199,
KANELIND    ,2.24,2.43,2.24,2.43,2.43,2.48,8,2260,5071,
WHIRLPOOL   ,1314.65,1359.1,1314.65,1352.5,1359,1311.7,371,8724,11631265,
KG DENIM    ,44.75,46.5,44.75,46.1,46.5,45.55,27,2680,123081,
KINETIC ENG.,31.95,32.5,31.8,32,32,33.45,18,920,29471,
KIRL.BROS.  ,143.95,144.95,142.75,144.55,144.8,143.4,30,353,50922,
KIRL INDUS  ,745.15,795,745.15,745.2,745.2,765,8,36,27152,
KIRL.FERROUS,88,89.45,88,89.05,89.05,88.3,167,40069,3564640,
ENVAIN ELECT,39.85,40.15,39.85,40.15,40.15,41.9,3,401,16079,
KOTAK MAH.BK,1282,1293.85,1280.1,1291.3,1291.3,1278.05,994,37101,47742862,
KSB         ,666.9,666.9,650,654.95,654.95,661,13,77,50227,
L.G.BALKRISH,382.05,390,380,388.6,388.6,382.65,137,4477,1731181,
TRENT LTD.  ,333.3,333.3,326.7,331.4,331.1,332.3,118,1022,337636,
LAXMIMACH   ,5400,5460,5366,5437,5437,5420.5,122,3388,18331763,
LIC HOUS.FIN,451.95,457.2,444.55,452,452.2,448.6,2046,404832,183206350,
UTTAMVALUE  ,0.19,0.19,0.19,0.19,0.19,0.19,10,15688,2980,
LUPIN LTD.  ,762,769.15,754,760.7,760.7,763.25,1629,81566,62104412,
LYKA LABS   ,21.8,21.9,21.6,21.9,21.9,21.95,5,600,13085,
RAMCOCEM    ,608.55,626,606.15,622.85,626,607,489,11065,6838807,
MAFATLAL IND,99.05,109.95,94,109.35,109,102.15,45,1737,186217,
MAH.SEAMLESS,444.8,449,438.45,440.65,440.05,432.9,439,11599,5147149,
MAH.SCOOTER ,3070.2,3121,3070,3105.75,3110,3076,45,108,334904,
MAJESTIC AUT,135,135,130,131.5,131.5,132.2,78,4069,537318,
MANALI PETRO,22.5,23.15,22.45,22.75,22.65,22.3,147,33127,754297,
MFSL        ,381.95,397.6,381.95,394.55,394.55,385.7,609,32382,12660246,
MID INDIA IN,0.31,0.31,0.31,0.31,0.31,0.3,1,200,62,
MIRC ELECT  ,21.8,22.5,21.35,21.65,21.9,20.1,353,60824,1330131,
CENTURY ENKA,223.7,232,221.5,231.15,231.15,223.6,150,6125,1388281,
LORDS CHLORO,62.9,63.35,57.9,62.95,62.95,60.35,63,4939,304826,
SPICEJET LTD,76.9,78,76,77.3,77.3,76.6,1876,391799,30262867,
MOREPEN LAB.,15.6,15.65,14.8,14.9,15,15.8,422,143026,2159921,
MRF LTD.    ,54378.15,55500,54111.2,55045.1,55499,54320.55,186,281,15349818,
HEIDEL CEM  ,150.3,157,150.3,153.35,153.8,149.15,255,18573,2852081,
NCC         ,82.75,84.55,82.75,84.1,84.3,82.35,1497,462644,38824673,
VEDL        ,154.85,160.65,154.15,160.15,160.15,153,7961,1137937,180214937,
NAHAR SPG.  ,81.7,82,81,82,82,81.1,34,1878,153137,
NAT.PEROXIDE,2450,2450,2390,2416.05,2416.05,2385.1,757,3797,9183925,
GRASIM IND. ,723.8,734,721,730.4,730.75,716.2,1122,55538,40463421,
PEL         ,2180,2217.75,2180,2196.1,2196.1,2173.05,1131,28313,62243011,
NIIT LTD.   ,82,82,78.35,79.25,79.1,81,973,77824,6189347,
JAYKAY      ,4.72,4.75,4.4,4.46,4.46,4.95,13,1273,5910,
NIRLON      ,196.7,196.7,196.6,196.6,196.6,196.6,30,24232,4764641,
ONGC CORPN  ,141.5,145,140.2,144.05,144.05,139,4321,569326,80962855,
OIL COUNTRY ,15.6,16.54,15.5,15.72,15.72,13.79,612,100123,1597722,
ORIENT HOTEL,40.2,40.2,39.8,40.15,40.15,40,7,14,560,
ORINTAL BANK,80.7,82.75,80.55,81.25,81.25,80.8,993,266079,21659375,
OSWAL AGRO. ,5.87,7.35,5.87,6.89,6.99,7.11,30,1753,12013,
INDIAN SUCRO,14.25,14.25,14.25,14.25,14.25,14.25,1,200,2850,
PANYAM CEMEN,7.37,8.08,7.36,8.06,8.06,7.7,44,9968,76697,
RELIANCE    ,1226.1,1239.25,1218.75,1234.35,1234.35,1216.35,8714,843803,1034721130,
PILITA      ,6.1,6.1,6.06,6.09,6.06,6.06,8,2900,17658,
PENTAMED.G  ,0.26,0.29,0.25,0.25,0.26,0.27,69,243487,64797,
RAYMOND     ,685,691,681.9,687.1,684.25,684.3,508,19957,13708962,
PIDILITE    ,1060,1083,1057.6,1075.3,1082,1058.85,522,11836,12671343,
PIX TRANS   ,164.05,171.85,164.05,170.6,170.6,163.9,187,54700,9288025,
BIRLA CORPN.,448.5,460,446.05,458.7,458.95,448.5,240,8031,3656409,
SURYA ROSHNI,207.15,213,207.15,212.3,213,205.2,173,12323,2580111,
PRIME SECUR.,42,43,40.65,42.65,42.5,41.6,54,18645,791742,
PRSMJOHNSN  ,69.4,70.75,68.3,69.65,69.35,68.2,123,15210,1063879,
RAIN        ,92.65,96,92,94.55,94.55,91.65,833,57273,5405333,
AMJLAND     ,17.45,18.2,17.45,18,18,17.7,6,268,4775,
PUN.COMMUNI.,17,17,17,17,17,17.2,2,100,1700,
RSWM  LTD   ,155.45,159,155.45,156.8,157.5,155.45,84,4450,700715,
RAJSH.SUGAR ,19.1,19.2,19.1,19.1,19.1,19.4,4,200,3820,
RALLIS INDIA,154,154,151.35,152.75,152.75,152.25,140,4418,674208,
RAMANEWS    ,21.65,21.65,21,21,21,21.25,67,16629,351855,
RAMA PAPER  ,14.35,14.5,14.25,14.25,14.25,15,17,18643,267047,
RAPICUT CARB,45,46,44.5,46,46,44.75,26,1097,49431,
RMGALLOY    ,18.5,18.9,18.2,18.55,18.75,18.05,37,11143,206533,
ROLTA (I)   ,5.44,5.44,5.44,5.44,5.44,5.19,59,43784,238184,
RUBFILA INT.,38.1,39.25,37.8,37.95,37.95,38,26,6755,259926,
RUCHI SOYA  ,5.8,6,5.69,5.87,5.9,5.87,142,90350,529162,
JINDAL SAW  ,78.4,79.95,77.3,79.05,79.05,75.85,1159,127044,9985920,
JK LAKSHMI  ,313.2,313.2,307.95,308.8,308.55,310.05,89,1460,452250,
SHREE CEMENT,15400,15830,15400,15745.75,15830,15344.2,106,213,3326618,
REL INFRA   ,122.6,124.05,111.5,119.4,119.4,122.2,22111,2677433,312971606,
STEELCO GUJ.,2.28,2.28,2.28,2.28,2.28,2.4,3,120,273,
TATA POWER  ,66.25,67.8,65.9,66.2,67.8,65.85,1262,631279,41852497,
SPMLINFRA   ,29.45,30,29.4,29.9,29.5,30.7,5,204,6058,
SUNDARAM FAS,503.75,513.1,503.15,506.9,503.15,500.15,244,3072,1559267,
SUNFLAG IRON,41.75,42.75,41.75,42.45,42.3,41.2,70,7685,325601,
SUPREME PET ,206.35,208.5,201.95,205.15,205,205,64,1927,394839,
SWARAJ ENGIN,1300.05,1300.05,1270,1281.55,1299.95,1294.45,81,660,844126,
TATA ELXSI  ,857.25,897.7,851,889.7,889.7,856.4,1935,53473,46874360,
ACC LTD     ,1379.8,1394.8,1362,1386.25,1386.25,1353.8,1283,31032,42804561,
THERMAX     ,968.25,978.45,955,962.6,960,970.75,174,81237,78792003,
THIRUMALAI  ,68.4,70.4,68.4,69.85,69.4,68,225,14722,1022492,
THOMAS COOK ,210.5,211,207,209.2,209.2,211,268,12555,2628454,
TIMEX GROUP ,48,48.75,46,46.75,47.2,47.65,66,16882,789704,
TOKYO PLAST ,47.15,47.15,47.15,47.15,47.15,48.3,1,83,3913,
TORRENT PHAR,1760.3,1771.35,1745,1766.15,1766.15,1765.15,343,3892,6836279,
TRANSCHEM   ,21.85,22,21.75,22,22,22,7,822,17918,
AMBUJA CEME ,199,208,199,206.85,206.85,200.1,2425,212387,43365450,
UTLINDS     ,14.1,14.1,14.1,14.1,14.1,14.05,1,100,1410,
UNIPHOS ENT.,94.5,95,92.8,95,95,93,21,1359,128462,
VARD HOLDNG ,1863,1900,1840,1862.75,1861,1863,21,74,137687,
HINDALCO    ,187,193.85,187,192.8,192.8,186.5,2118,312728,59836532,
WEST COAS PA,229.55,235.95,229.55,230.7,230.7,228.3,856,10559,2458634,
HIND.ORG.CHM,19.5,20.05,19,19.75,19.85,19.5,133,73262,1442311,
MPIL CORP L ,120,120,120,120,120,120,1,50,6000,
PAS.ACRYLON ,13.5,13.6,13,13.1,13,13.3,182,74123,995981,
PROCTER &GAM,9870.05,10026.1,9838,9943.25,9943.15,9920.9,146,265,2619938,
MUKAND LTD. ,49.5,51.35,48.15,50.5,50.5,48.8,89,11270,567620,
UCAL FUEL   ,151.85,152.5,148.5,149.5,148.5,149.65,43,1396,209440,
HARR.MALAYAL,66.15,66.25,62.05,64.1,62.05,64.9,100,3954,255805,
FEDERAL BANK,79.3,80.4,79.15,79.7,79.7,79.4,787,233253,18594222,
TATA STEEL  ,476.4,493.65,472.8,490.6,490.6,471.15,12158,1082361,526020891,
SKF INDIA   ,1958.9,1984,1958.9,1973.2,1972.3,1968,75,1565,3088191,
ASHOK LEYL. ,79.95,81.5,79.7,80.95,80.95,79.25,5611,2041084,165071149,
CUMMINS (I) ,666.55,692.5,666.55,677.55,677.55,667.05,1297,27282,18577543,
TATA COMM   ,505.35,522,502.95,517.3,517.5,508.15,534,17090,8814360,
ABBOTT (I)  ,7291.2,7325,7261.8,7291.6,7286,7260.95,33,54,393339,
BAJ HOLD INV,3063.45,3184.9,3060.05,3158.65,3158.65,3083.15,363,1001,3140032,
BHARAT FORGE,459.5,473.65,459.5,472,472,457.9,1334,67451,31503670,
ESCORTS LTD.,642.6,660,641.25,657.55,657.55,636.35,1669,72054,46975721,
HIND.MOTORS ,6.76,6.79,6.5,6.57,6.51,6.7,102,22349,147232,
LARSEN & TOU,1260.55,1280,1260.55,1275.1,1275.1,1255.75,4875,141369,180026423,
MAH & MAH   ,639,639,628.5,633.5,633.5,632.2,3896,118420,74839719,
BOSCH LTD   ,17901.1,18250,17792.7,18153.05,18153.05,17757.45,199,452,8158625,
PREMIER LTD ,5.55,6.07,5.55,6.07,6.07,5.79,12,3120,18819,
BHARAT PET. ,335,344.65,335,341.55,340,334.4,2140,191893,65369635,
SIEMENS LTD.,946.95,969.95,945,966.45,966.6,945.45,586,11671,11252609,
TATA MOTORS ,165,166.5,163.85,164.85,164.85,163.5,5142,970839,160021484,
VOLTAS LTD  ,529.15,532.4,524.4,529.75,531,524.25,701,24991,13228603,
GREAT EASTE ,270.25,275.75,263.8,272.75,275.75,269.2,232,101108,27008216,
DEEPAK FERT.,121.65,127.8,119.4,125.35,127.75,119,1355,70569,8675334,
EXCEL INDUST,971,1014.75,959.8,993.25,1007,935.85,214,2222,2153486,
GARWARE POLY,200.5,200.5,193.75,196.3,196,197.6,22,1030,202214,
GLAXOSMITH  ,1342.15,1350,1325,1335.6,1330,1346.7,116,1118,1494666,
GUJ.NARMADA ,246.5,249,245.05,247.65,247.65,246.9,1165,47382,11707441,
NOVARTIS    ,661.9,666.5,653.1,657.75,657.75,660.9,216,2745,1809198,
SANOFI      ,5959.5,6030,5881.25,5979.4,5979.4,5928.2,126,227,1347963,
GLAXOSMITHKL,7285.55,7316,7220.1,7222.75,7225,7282.7,133,294,2132695,
PFIZER LTD. ,2928.95,2983.45,2887,2907.45,2895,2907.45,403,8250,24145138,
GUJ.ST.FERT ,87.35,90.4,87.35,89.85,90,87.35,613,92277,8245792,
HIND UNI LT ,1740,1744.05,1722,1733.6,1733.6,1738.75,3224,71269,123335643,
AKZOINDIA   ,1645.25,1701,1641.7,1665.25,1700,1647,113,475,788094,
NOCIL LTD   ,120.45,121.95,119.5,121.1,121,119.2,604,44037,5324048,
TATA CHEM.  ,566,571.25,563,565.1,565.1,565.05,319,9185,5208161,
T.P.L.      ,30.7,32.1,30.7,31.85,31.9,30.45,100,13726,434416,
ZUARIGLOB   ,97.2,98.5,97.2,97.8,97.8,97.1,36,1182,115602,
NESTLE (I)  ,10520.1,10615,10410,10530.8,10530.8,10520.1,536,1864,19615802,
TATAGLOBAL  ,185.6,189.3,185.5,188.55,189,184.75,374,39783,7460927,
ASIAN PAINTS,1384.15,1396.4,1377,1394.4,1392,1378.95,1042,27431,38103308,
BRITANIA IND,2873,2943,2873,2922.05,2922.05,2875.95,1028,13662,39788988,
COLGATE PALM,1254.9,1268,1240.15,1243.85,1243.85,1247.05,644,12260,15339678,
EIH LTD.    ,184.2,185.65,183.55,184.65,184.1,183.95,717,9284,1714134,
INDIAN HOTEL,140.5,147.5,137.2,138.95,138.95,137.4,2451,127329,17881211,
CASTROL     ,149.05,150.75,148,149.95,149.95,147.85,388,29871,4463698,
ITC LTD.    ,277.5,278.4,274,275.85,275.85,275.1,3625,441211,121392141,
APOLLO TYRES,203.4,210.8,203.4,208.95,208.95,202.5,1645,127409,26566805,
CEAT LIMITED,1060.45,1066,1049.4,1057.25,1055.05,1053.5,571,14430,15260734,
FINOLEX IND.,456.35,456.35,442,447.6,447.6,451.2,503,8085,3613034,
DALAL ST INV,313.15,313.15,313.15,313.15,313.15,319.5,1,1,313,
CENTRUM CAP ,32,32.3,31.5,32.05,32.3,31.7,133,21372,682468,
OSCAR INV.  ,17.5,17.5,17.5,17.5,17.5,17.85,5,66,1155,
TCI FINANCE ,12,14.11,12,13.8,13.8,13.99,23,1362,18926,
INDUS.&PRUD.,1020,1020,1020,1020,1020,986,1,5,5100,
TATA INVEST.,833.8,834.3,808.1,818.65,818.65,834.2,410,8048,6571354,
MOTOR&GEN.FI,48.95,48.95,42,42,42,42,6,171,7251,
WALCHAND PF ,84.9,87,82,84.25,82,85.4,8,255,21299,
W.H.BRADY   ,119.9,119.9,105,114.45,116,110.1,11,38,4294,
SHA ENG PLA ,686.3,686.3,656.3,662.95,670.6,659.75,113,2995,1997416,
BOM.BURMAH  ,1199.65,1240.7,1199,1217.75,1230,1198.95,589,5882,7168391,
BOM.CYCLE   ,1784,1857.1,1695,1857,1857,1688.3,25,53,96920,
GREAVES COTT,118.55,119.6,118,119.25,119.25,118.5,89,5012,596191,
INDIA NIVEH ,64.55,64.7,64.45,64.5,64.5,64.5,37,6028,389326,
COAST CORP  ,345,358.9,326.4,326.6,326.4,343.55,91,9149,3104763,
CHOWGULE ST ,7.15,7.26,7.15,7.25,7.25,7.52,5,518,3755,
GLOBAL OFFS ,10.18,10.5,10.18,10.5,10.5,10.13,6,230,2383,
ASIIL       ,12.3,12.3,12.05,12.3,12.3,12.49,15,1489,18063,
SAGAR CEM.  ,555,556.6,534,546.15,550,544,25,4985,2768019,
DECAN CEMENT,351,351,334,337.75,338,347.9,58,642,218615,
MANGALAM CEM,208.75,209.05,203,203,203,200.1,9,125,25442,
N C L IND.  ,103,106.9,103,103.6,103.6,104.85,25,1078,114094,
SAURAS.CEM. ,36.5,37.95,36.5,37.05,37.05,37,27,5200,193448,
SRI DIGV CEM,18.6,18.8,18.35,18.55,18.8,18.45,48,39579,737135,
BOROSIL GLAS,204,216,201.15,210.65,210.65,200.25,532,15969,3353504,
RAASI REFRAC,10.95,10.95,10.95,10.95,10.95,11.5,1,1,10,
TRIVENI GLAS,10.3,10.3,9.45,9.45,9.45,9.93,13,4703,45790,
IPAPPM      ,447,450,444,445.35,450,441.3,158,4426,1980424,
BALKRISH IND,824.2,834.1,822.55,825.25,825.25,816.9,593,20285,16807858,
NATH PULP   ,61,61,61,61,61,61,2,3,183,
ORIENT PAPER,32.4,32.95,32.3,32.65,32.65,32.1,221,19644,641613,
CITADEL     ,18.05,20.65,17.95,18,18,19.9,14,2319,41862,
ROLLATAINER ,2.59,2.69,2.31,2.44,2.31,2.29,38,1457,3678,
SESHA.PAPER ,879.15,881.85,851,867.15,866.2,860,49,647,561531,
RAMA PULP   ,60.85,63.5,59,59.3,59.3,60.85,26,5389,322097,
SINTEX IND. ,7.96,8.32,7.95,8.08,8.08,7.95,222,122038,981938,
DCM LTD.    ,60.2,65.3,60.2,61.6,61.6,63,11,221,13837,
FORBES & CO ,1970,1972,1802,1857.3,1888,1843,129,822,1508014,
JAMSHRI RANJ,21.5,21.65,20,21.2,21.6,20.65,32,4432,92820,
KESORAM IND ,58.2,59.5,57,58.25,58.25,58.1,281,42301,2450835,
LAKSHMI MILL,2820,2820,2630,2673.5,2709,2712,13,251,687459,
VARDH TEXT  ,974.55,981.25,956,965.55,961.85,977.05,63,238,231779,
PENLAND LTD ,8.15,8.3,7.72,7.89,7.95,7.97,353,59445,478084,
PASUPATI SPG,21,21.7,21,21,21.7,21.75,3,1000,21002,
PHOENIX MILL,600.65,607.4,591.55,599.5,602,596.65,110,877,527094,
MARATHON NEX,116,116,103.3,106.45,105,108.05,89,3761,405324,
REL.CHEMOTX ,64,68,64,65,65,61.35,11,305,19583,
RUBY MILLS  ,272,274.75,262.5,263,262.5,269.25,87,1280,342393,
SIMPLEX REAL,59.35,65.1,59.35,65.1,65.1,62,3,370,23167,
SWAN ENG    ,96.3,98,96,97.15,96.3,96.95,537,106579,10291711,
VICTORIA MIL,2105.05,2135,2021.7,2115.9,2135,2149.9,19,46,95208,
SVARAJ TRAD ,157,163.25,157,162.5,159.5,160.35,84,29000,4642656,
DHANLEELA   ,30,30,28.9,29.5,29.5,29.45,3,3,88,
VEER ENERGY ,10.85,10.85,10.34,10.57,10.64,10.56,52,7271,76100,
TILAK       ,1.65,1.73,1.65,1.65,1.65,1.73,3,465,768,
SRF LIMITED ,2172.35,2209.7,2172.35,2203.25,2200,2178.75,270,4988,10955557,
SIYARAM SILK,341.55,341.95,340,341.5,341.5,340.1,8,121,41346,
