SC_CODE,SC_GROUP,SC_TYPE,ISIN_CODE,TRADING_DATE
500456,X ,Q,INE818B01023,20-Feb-19
500459,A ,Q,INE179A01014,20-Feb-19
500460,B ,Q,INE304A01026,20-Feb-19
500464,B ,Q,INE139B01016,20-Feb-19
500467,B ,Q,INE544A01019,20-Feb-19
500469,A ,Q,INE171A01029,20-Feb-19
500470,A ,Q,INE081A01012,20-Feb-19
500472,A ,Q,INE640A01023,20-Feb-19
500477,A ,Q,INE208A01029,20-Feb-19
500480,A ,Q,INE298A01020,20-Feb-19
500483,A ,Q,INE151A01013,20-Feb-19
500488,A ,Q,INE358A01014,20-Feb-19
500490,A ,Q,INE118A01012,20-Feb-19
500493,A ,Q,INE465A01025,20-Feb-19
500495,A ,Q,INE042A01014,20-Feb-19
500500,B ,Q,INE253A01025,20-Feb-19
500510,A ,Q,INE018A01030,20-Feb-19
500520,A ,Q,INE101A01026,20-Feb-19
500530,A ,Q,INE323A01026,20-Feb-19
500540,B ,Q,INE342A01018,20-Feb-19
500547,A ,Q,INE029A01011,20-Feb-19
500550,A ,Q,INE003A01024,20-Feb-19
500570,A ,Q,INE155A01022,20-Feb-19
500575,A ,Q,INE226A01021,20-Feb-19
500620,A ,Q,INE017A01032,20-Feb-19
500645,A ,Q,INE501A01019,20-Feb-19
500650,B ,Q,INE369A01029,20-Feb-19
500655,X ,Q,INE291A01017,20-Feb-19
500660,A ,Q,INE159A01016,20-Feb-19
500670,A ,Q,INE113A01013,20-Feb-19
500672,B ,Q,INE234A01025,20-Feb-19
500674,A ,Q,INE058A01010,20-Feb-19
500676,A ,Q,INE264A01014,20-Feb-19
500680,A ,Q,INE182A01018,20-Feb-19
500690,A ,Q,INE026A01025,20-Feb-19
500696,A ,Q,INE030A01027,20-Feb-19
500710,B ,Q,INE133A01011,20-Feb-19
500730,A ,Q,INE163A01018,20-Feb-19
500770,A ,Q,INE092A01019,20-Feb-19
500777,B ,Q,INE148A01019,20-Feb-19
500780,B ,Q,INE217A01012,20-Feb-19
500790,A ,Q,INE239A01016,20-Feb-19
500800,A ,Q,INE192A01025,20-Feb-19
500820,A ,Q,INE021A01026,20-Feb-19
500825,A ,Q,INE216A01030,20-Feb-19
500830,A ,Q,INE259A01022,20-Feb-19
500840,A ,Q,INE230A01023,20-Feb-19
500850,A ,Q,INE053A01029,20-Feb-19
500870,A ,Q,INE172A01027,20-Feb-19
500875,A ,Q,INE154A01025,20-Feb-19
500877,A ,Q,INE438A01022,20-Feb-19
500878,A ,Q,INE482A01020,20-Feb-19
500940,A ,Q,INE183A01016,20-Feb-19
501148,XT,Q,INE422D01012,20-Feb-19
501150,A ,Q,INE660C01027,20-Feb-19
501179,XT,Q,INE221D01018,20-Feb-19
501242,B ,Q,INE911B01018,20-Feb-19
501298,X ,Q,INE620D01011,20-Feb-19
501301,B ,Q,INE672A01018,20-Feb-19
501343,B ,Q,INE861B01015,20-Feb-19
501370,X ,Q,INE695D01021,20-Feb-19
501391,X ,Q,INE855A01019,20-Feb-19
501423,X ,Q,INE151G01010,20-Feb-19
501425,A ,Q,INE050A01025,20-Feb-19
501430,X ,Q,INE691K01017,20-Feb-19
501455,A ,Q,INE224A01026,20-Feb-19
501700,X ,Q,INE131H01028,20-Feb-19
501831,X ,Q,INE377E01016,20-Feb-19
501833,XT,Q,INE490A01015,20-Feb-19
501848,B ,Q,INE446C01013,20-Feb-19
502015,X ,Q,INE443A01030,20-Feb-19
502090,B ,Q,INE229C01013,20-Feb-19
502137,B ,Q,INE583C01021,20-Feb-19
502157,B ,Q,INE347A01017,20-Feb-19
502168,B ,Q,INE732C01016,20-Feb-19
502175,X ,Q,INE626A01014,20-Feb-19
502180,X ,Q,INE232A01011,20-Feb-19
502219,B ,Q,INE666D01022,20-Feb-19
502271,XT,Q,INE858D01017,20-Feb-19
502281,XT,Q,INE094C01011,20-Feb-19
502330,B ,Q,INE435A01028,20-Feb-19
502355,A ,Q,INE787D01026,20-Feb-19
502407,X ,Q,INE776A01025,20-Feb-19
502420,B ,Q,INE592A01026,20-Feb-19
502445,X ,Q,INE906D01014,20-Feb-19
502448,B ,Q,INE927A01040,20-Feb-19
502450,B ,Q,INE630A01016,20-Feb-19
502587,X ,Q,INE777A01015,20-Feb-19
502742,B ,Q,INE429C01035,20-Feb-19
502820,B ,Q,INE498A01018,20-Feb-19
502865,B ,Q,INE518A01013,20-Feb-19
502901,X ,Q,INE462D01018,20-Feb-19
502937,B ,Q,INE087A01019,20-Feb-19
502958,X ,Q,INE938C01019,20-Feb-19
502986,A ,Q,INE825A01012,20-Feb-19
503031,B ,Q,INE138A01028,20-Feb-19
503092,X ,Q,INE909B01020,20-Feb-19
503100,A ,Q,INE211B01039,20-Feb-19
503101,B ,Q,INE182D01020,20-Feb-19
503162,X ,Q,INE750D01016,20-Feb-19
503169,B ,Q,INE301D01026,20-Feb-19
503229,X ,Q,INE167H01014,20-Feb-19
503310,A ,Q,INE665A01038,20-Feb-19
503349,X ,Q,INE203D01016,20-Feb-19
503624,XT,Q,INE406N01014,20-Feb-19
503637,X ,Q,INE683D01027,20-Feb-19
503657,X ,Q,INE255E01030,20-Feb-19
503663,X ,Q,INE026L01022,20-Feb-19
503806,A ,Q,INE647A01010,20-Feb-19
503811,B ,Q,INE076B01028,20-Feb-19
503831,X ,Q,INE241E01014,20-Feb-19
503837,X ,Q,INE796C01011,20-Feb-19
503960,B ,Q,INE464A01028,20-Feb-19
504000,X ,Q,INE579B01039,20-Feb-19
504008,B ,Q,INE078A01026,20-Feb-19
504028,X ,Q,INE064H01021,20-Feb-19
504036,B ,Q,INE835D01023,20-Feb-19
504058,B ,Q,INE567A01010,20-Feb-19
504067,B ,Q,INE520A01027,20-Feb-19
504076,X ,Q,INE511D01012,20-Feb-19
504084,X ,Q,INE813G01015,20-Feb-19
504092,X ,Q,INE716F01012,20-Feb-19
504093,X ,Q,INE795A01017,20-Feb-19
504112,B ,Q,INE045B01015,20-Feb-19
504132,X ,Q,INE418E01018,20-Feb-19
504176,X ,Q,INE783E01015,20-Feb-19
504212,B ,Q,INE279A01012,20-Feb-19
504220,T ,Q,INE100D01014,20-Feb-19
504240,X ,Q,INE872E01016,20-Feb-19
504258,X ,Q,INE284C01018,20-Feb-19
504286,B ,Q,INE393A01011,20-Feb-19
504335,X ,Q,INE040N01029,20-Feb-19
504340,X ,Q,INE180M01033,20-Feb-19
504341,X ,Q,INE206N01018,20-Feb-19
504351,X ,Q,INE507F01023,20-Feb-19
504378,X ,Q,INE812K01027,20-Feb-19
504392,XT,Q,INE537L01010,20-Feb-19
504614,B ,Q,INE385C01013,20-Feb-19
504697,X ,Q,INE255C01018,20-Feb-19
504741,B ,Q,INE323C01030,20-Feb-19
504786,X ,Q,INE155E01016,20-Feb-19
504810,XT,Q,INE123E01014,20-Feb-19
504840,X ,Q,INE375D01012,20-Feb-19
504879,B ,Q,INE569C01020,20-Feb-19
504918,X ,Q,INE149K01016,20-Feb-19
504959,X ,Q,INE755D01015,20-Feb-19
504961,X ,Q,INE895C01011,20-Feb-19
504966,B ,Q,INE422C01014,20-Feb-19
504973,A ,Q,INE149A01033,20-Feb-19
504988,X ,Q,INE380G01015,20-Feb-19
505010,B ,Q,INE449A01011,20-Feb-19
505029,T ,Q,INE446A01025,20-Feb-19
505036,X ,Q,INE451C01013,20-Feb-19
505075,B ,Q,INE878E01021,20-Feb-19
505141,T ,Q,INE959E01011,20-Feb-19
505160,B ,Q,INE187D01011,20-Feb-19
505163,X ,Q,INE116C01012,20-Feb-19
505192,B ,Q,INE294B01019,20-Feb-19
505196,B ,Q,INE806C01018,20-Feb-19
505200,A ,Q,INE066A01013,20-Feb-19
505216,X ,Q,INE782D01027,20-Feb-19
505230,B ,Q,INE184C01028,20-Feb-19
505232,X ,Q,INE232E01013,20-Feb-19
505242,B ,Q,INE221B01012,20-Feb-19
505250,X ,Q,INE631D01026,20-Feb-19
505255,B ,Q,INE541A01023,20-Feb-19
505283,B ,Q,INE811A01020,20-Feb-19
505285,XT,Q,INE637D01015,20-Feb-19
505299,X ,Q,INE731D01024,20-Feb-19
505302,XT,Q,INE718M01014,20-Feb-19
505324,B ,Q,INE867A01022,20-Feb-19
505343,XT,Q,INE811D01024,20-Feb-19
505355,B ,Q,INE317F01035,20-Feb-19
505358,X ,Q,INE984B01023,20-Feb-19
505368,B ,Q,INE617A01013,20-Feb-19
505400,B ,Q,INE435C01024,20-Feb-19
505412,B ,Q,INE274C01019,20-Feb-19
505502,X ,Q,INE953M01033,20-Feb-19
505509,B ,Q,INE688D01026,20-Feb-19
505526,X ,Q,INE966A01022,20-Feb-19
505533,B ,Q,INE274F01020,20-Feb-19
505537,A ,Q,INE256A01028,20-Feb-19
505576,X ,Q,INE505D01014,20-Feb-19
505590,X ,Q,INE308E01011,20-Feb-19
505681,X ,Q,INE469A01019,20-Feb-19
505688,B ,Q,INE561C01019,20-Feb-19
505700,B ,Q,INE205B01023,20-Feb-19
505710,B ,Q,INE266D01021,20-Feb-19
505712,X ,Q,INE705G01021,20-Feb-19
505714,B ,Q,INE524A01029,20-Feb-19
505720,B ,Q,INE688E01024,20-Feb-19
